2.22149,1.3694,1.93148,0.15542
2.57427,1.5972,2.20739,0.1919
3.07873,1.90272,2.57845,0.24558
3.61295,2.23797,2.97315,0.304383
4.17093,2.55057,3.36452,0.371956
4.82517,2.96073,3.82041,0.449155
5.55024,3.40592,4.3141,0.537661
6.42596,3.94013,4.89764,0.646316
7.39641,4.53601,5.54472,0.771964
8.46406,5.18091,6.22631,0.907118
9.68812,5.91194,7.00033,1.07329
11.0626,6.74927,7.86444,1.24418
12.6679,7.73705,8.86554,1.45213
14.3463,8.75323,9.90435,1.66982
15.9996,9.76091,10.9295,1.88125
17.666,10.7585,11.914,2.08832
19.7428,12.0729,13.217,2.33218
21.6085,13.1973,14.3511,2.57851
23.683,14.5143,15.6416,2.80817
25.9445,15.9084,17.0213,3.07638
28.0424,17.2339,18.3371,3.33831
30.1607,18.5254,19.5972,3.58219
32.3884,19.9529,21.0165,3.83308
34.7416,21.4414,22.499,4.10304
36.959,22.8462,23.9055,4.35079
39.2497,24.3089,25.3382,4.58573
41.4089,25.5678,26.6259,4.81859
43.9915,27.2949,28.3139,5.07737
46.1512,28.6403,29.6437,5.32526
48.6391,30.2643,31.2543,5.56825
51.0667,31.8415,32.8367,5.81242
53.2522,33.2448,34.2244,6.02343
55.7627,34.8225,35.7928,6.28696
58.1076,36.3814,37.3463,6.51596
60.5476,37.9734,38.9312,6.7296
62.8972,39.508,40.461,6.98609
65.3326,41.0743,42.0319,7.17885
67.7887,42.636,43.5946,7.4217
69.9175,44.013,44.9768,7.63026
72.5148,45.819,46.7579,7.8491
74.9781,47.3741,48.3026,8.06912
77.5534,49.0551,49.9808,8.31649
79.8133,50.549,51.492,8.50346
82.2253,52.1418,53.0673,8.70399
84.7121,53.8414,54.7596,8.91171
87.1666,55.4749,56.3905,9.11217
89.3879,56.9483,57.8643,9.31676
91.9351,58.6029,59.5146,9.48287
94.3973,60.194,61.1134,9.71251
97.0544,62.0182,62.929,9.91407
99.6771,63.8264,64.7405,10.0924
101.929,65.2873,66.2125,10.2449
104.441,67.0539,67.9791,10.4528
106.793,68.4741,69.3734,10.6635
109.449,70.3052,71.2202,10.8234
111.758,71.8478,72.7706,10.9963
114.282,73.5571,74.5071,11.199
116.775,75.225,76.1472,11.3354
119.303,76.8855,77.8049,11.5202
121.49,78.3496,79.2775,11.6187
124.17,80.2311,81.1446,11.7445
126.74,81.8864,82.8131,11.988
129.167,83.5364,84.4443,12.1403
131.648,85.3472,86.2739,12.2645
133.801,86.7031,87.6508,12.3501
136.522,88.5097,89.4168,12.5018
139.047,90.159,91.0719,12.6952
141.306,91.661,92.5744,12.7284
143.998,93.5754,94.4875,12.9352
146.621,95.3867,96.3233,13.0267
148.571,96.6647,97.5893,13.0815
151.234,98.4333,99.3612,13.2154
153.929,100.356,101.308,13.2874
156.375,102.038,102.958,13.3815
158.542,103.415,104.371,13.5272
161.478,105.584,106.536,13.5796
163.817,107.121,108.066,13.6074
166.104,108.786,109.746,13.7199
168.572,110.326,111.317,13.8548
171.423,112.392,113.338,13.8061
173.491,113.657,114.633,13.9355
176.175,115.414,116.378,13.9803
178.759,117.161,118.139,13.9224
181.003,118.681,119.661,13.9275
183.766,120.69,121.674,13.9761
186.05,122.169,123.122,13.9099
188.535,123.89,124.845,13.7541
191.511,125.982,127,13.65
193.604,127.331,128.3,13.6533
196.17,129.232,130.222,13.3479 
